order_id,line_no,sku,qty,unit_price,status,ship_date,region,updated_at
SO-00038,1,SKU120,3,87.32,invoiced,2026-08-06,NA,2026-08-31 10:00
SO-00038,2,SKU104,9,281.81,invoiced,2026-08-03,NA,2026-08-31 10:00
SO-00038,3,SKU105,20,257.59,open,2026-08-09,EMEA,2026-08-31 10:00
SO-00039,1,SKU100,11,298.32,shipped,2026-08-09,APAC,2026-08-31 10:00
SO-00039,2,SKU108,2,160.44,open,2026-08-04,EMEA,2026-08-31 10:00
SO-00040,1,SKU103,6,64.52,shipped,2026-08-21,NA,2026-08-31 10:00
SO-00040,2,SKU133,7,90.54,invoiced,2026-08-22,EMEA,2026-08-31 10:00
SO-00041,1,SKU122,1,298.38,open,2026-08-01,EMEA,2026-08-31 10:00
SO-00041,2,SKU132,18,293.53,invoiced,2026-08-16,EMEA,2026-08-31 10:00
SO-00042,1,SKU106,14,198.67,invoiced,2026-08-27,NA,2026-08-31 10:00
SO-00042,2,SKU132,10,207.88,open,2026-08-11,EMEA,2026-08-31 10:00
SO-00043,1,SKU140,5,124.39,shipped,2026-08-02,EMEA,2026-08-31 10:00
SO-00043,2,SKU100,3,189.51,shipped,2026-08-14,EMEA,2026-08-31 10:00
SO-00043,3,SKU103,3,201.24,shipped,2026-08-28,APAC,2026-08-31 10:00
SO-00044,1,SKU118,20,76.45,shipped,2026-08-02,NA,2026-08-31 10:00
SO-00044,2,SKU111,6,84.37,open,2026-08-09,NA,2026-08-31 10:00
SO-00044,3,SKU121,18,100.44,open,2026-08-10,EMEA,2026-08-31 10:00
SO-00045,1,SKU111,1,103.92,open,2026-08-16,NA,2026-08-31 10:00
SO-00045,2,SKU132,7,78.21,open,2026-08-03,NA,2026-08-31 10:00
SO-00046,1,SKU109,13,178.11,shipped,2026-08-01,NA,2026-08-31 10:00
SO-00047,1,SKU140,8,29.92,invoiced,2026-08-28,EMEA,2026-08-31 10:00
SO-00047,2,SKU138,13,230.47,invoiced,2026-08-16,EMEA,2026-08-31 10:00
SO-00048,1,SKU139,5,17.92,invoiced,2026-08-17,APAC,2026-08-31 10:00
SO-00048,2,SKU127,17,46.10,invoiced,2026-08-25,APAC,2026-08-31 10:00
SO-00049,1,SKU101,19,240.40,invoiced,2026-08-22,APAC,2026-08-31 10:00
SO-00049,2,SKU114,3,14.19,open,2026-08-21,NA,2026-08-31 10:00
SO-00049,3,SKU106,13,251.57,invoiced,2026-08-02,APAC,2026-08-31 10:00
SO-00050,1,SKU140,18,205.80,shipped,2026-08-09,EMEA,2026-08-31 10:00
SO-00051,1,SKU104,17,269.87,open,2026-08-22,APAC,2026-08-31 10:00
SO-00051,2,SKU104,16,79.40,open,2026-08-28,NA,2026-08-31 10:00
SO-00052,1,SKU113,8,223.25,shipped,2026-08-16,NA,2026-08-31 10:00
SO-00053,1,SKU130,10,231.26,invoiced,2026-08-21,APAC,2026-08-31 10:00
SO-00054,1,SKU104,20,48.49,shipped,2026-08-21,APAC,2026-08-31 10:00
SO-00055,1,SKU119,20,172.49,open,2026-08-16,EMEA,2026-08-31 10:00
SO-00055,2,SKU131,9,291.89,open,2026-08-23,EMEA,2026-08-31 10:00
SO-00055,3,SKU131,10,214.12,shipped,2026-08-15,NA,2026-08-31 10:00
SO-00056,1,SKU107,18,63.78,open,2026-08-16,EMEA,2026-08-31 10:00
SO-00056,2,SKU118,15,27.56,invoiced,2026-08-15,NA,2026-08-31 10:00
SO-00057,1,SKU113,7,27.01,open,2026-08-05,APAC,2026-08-31 10:00
SO-00057,2,SKU133,9,286.06,open,2026-08-20,APAC,2026-08-31 10:00
SO-00058,1,SKU117,4,212.48,open,2026-08-16,NA,2026-08-31 10:00
SO-00058,2,SKU125,1,51.92,shipped,2026-08-22,NA,2026-08-31 10:00
SO-00058,3,SKU125,10,219.52,shipped,2026-08-12,NA,2026-08-31 10:00
SO-00059,1,SKU107,11,5.51,shipped,2026-08-27,NA,2026-08-31 10:00
SO-00059,2,SKU107,7,215.34,invoiced,2026-08-10,NA,2026-08-31 10:00
SO-00060,1,SKU104,13,120.10,invoiced,2026-08-03,NA,2026-08-31 10:00
SO-00060,2,SKU127,9,257.01,shipped,2026-08-04,EMEA,2026-08-31 10:00
SO-00061,1,SKU118,5,78.55,shipped,2026-08-14,APAC,2026-08-31 10:00
SO-00061,2,SKU120,7,233.09,shipped,2026-08-01,APAC,2026-08-31 10:00
SO-00061,3,SKU125,18,167.02,invoiced,2026-08-03,EMEA,2026-08-31 10:00
SO-00062,1,SKU126,15,186.40,open,2026-08-21,NA,2026-08-31 10:00
SO-00062,2,SKU131,2,274.01,invoiced,2026-08-05,EMEA,2026-08-31 10:00
SO-00062,3,SKU130,14,106.38,shipped,2026-08-09,APAC,2026-08-31 10:00
SO-00063,1,SKU116,13,198.52,shipped,2026-08-16,APAC,2026-08-31 10:00
SO-00063,2,SKU125,4,54.36,open,2026-08-03,EMEA,2026-08-31 10:00
SO-00063,3,SKU132,16,167.36,shipped,2026-08-11,NA,2026-08-31 10:00
SO-00064,1,SKU108,18,61.76,open,2026-08-06,NA,2026-08-31 10:00
SO-00064,2,SKU135,3,99.19,shipped,2026-08-09,APAC,2026-08-31 10:00
SO-00065,1,SKU101,14,117.94,invoiced,2026-08-17,EMEA,2026-08-31 10:00
SO-00066,1,SKU117,11,226.87,shipped,2026-08-09,APAC,2026-08-31 10:00
SO-00066,2,SKU123,5,207.59,invoiced,2026-08-21,EMEA,2026-08-31 10:00
SO-00067,1,SKU117,8,118.45,invoiced,2026-08-15,NA,2026-08-31 10:00
SO-00068,1,SKU101,5,14.51,invoiced,2026-08-25,NA,2026-08-31 10:00
SO-00068,2,SKU137,16,5.05,shipped,2026-08-27,APAC,2026-08-31 10:00
SO-00069,1,SKU128,8,236.02,open,2026-08-05,EMEA,2026-08-31 10:00
SO-00069,2,SKU133,4,282.74,invoiced,2026-08-23,APAC,2026-08-31 10:00
SO-00070,1,SKU105,18,234.17,open,2026-08-26,EMEA,2026-08-31 10:00
SO-00070,2,SKU114,19,276.38,invoiced,2026-08-23,NA,2026-08-31 10:00
SO-00071,1,SKU140,9,160.83,shipped,2026-08-23,EMEA,2026-08-31 10:00
SO-00072,1,SKU104,10,159.71,invoiced,2026-08-07,NA,2026-08-31 10:00
SO-00073,1,SKU114,20,5.34,invoiced,2026-08-10,NA,2026-08-31 10:00
SO-00073,2,SKU117,11,195.15,open,2026-08-16,APAC,2026-08-31 10:00
SO-00074,1,SKU135,8,13.64,shipped,2026-08-23,APAC,2026-08-31 10:00
SO-00075,1,SKU103,1,62.26,invoiced,2026-08-21,NA,2026-08-31 10:00
SO-00075,2,SKU105,9,72.21,shipped,2026-08-12,EMEA,2026-08-31 10:00
SO-00076,1,SKU102,11,216.91,shipped,2026-08-22,NA,2026-08-31 10:00
SO-00076,2,SKU112,1,240.13,invoiced,2026-08-28,APAC,2026-08-31 10:00
SO-00077,1,SKU113,16,291.11,shipped,2026-08-25,EMEA,2026-08-31 10:00
SO-00078,1,SKU129,8,83.18,shipped,2026-08-04,APAC,2026-08-31 10:00
SO-00079,1,SKU139,6,269.46,shipped,2026-08-14,APAC,2026-08-31 10:00
SO-00079,2,SKU103,20,48.18,shipped,2026-08-02,EMEA,2026-08-31 10:00
SO-00080,1,SKU138,5,127.54,invoiced,2026-08-02,EMEA,2026-08-31 10:00
SO-00081,1,SKU128,11,221.15,open,2026-08-06,NA,2026-08-31 10:00
SO-00081,2,SKU112,6,197.48,invoiced,2026-08-24,NA,2026-08-31 10:00
SO-00082,1,SKU119,13,252.54,shipped,2026-08-15,EMEA,2026-08-31 10:00
SO-00083,1,SKU100,3,87.54,shipped,2026-08-14,EMEA,2026-08-31 10:00
SO-00084,1,SKU113,13,110.21,shipped,2026-08-27,NA,2026-08-31 10:00
SO-00084,2,SKU105,2,213.05,open,2026-08-12,APAC,2026-08-31 10:00
SO-00084,3,SKU128,7,100.38,invoiced,2026-08-16,EMEA,2026-08-31 10:00
SO-00085,1,SKU126,8,244.49,shipped,2026-08-02,NA,2026-08-31 10:00
SO-00085,2,SKU102,15,23.46,open,2026-08-09,EMEA,2026-08-31 10:00
SO-00085,3,SKU104,20,105.03,shipped,2026-08-11,APAC,2026-08-31 10:00
SO-00086,1,SKU116,11,277.65,shipped,2026-08-01,APAC,2026-08-31 10:00
SO-00087,1,SKU140,3,12.16,open,2026-08-04,NA,2026-08-31 10:00
SO-00087,2,SKU129,13,237.99,shipped,2026-08-27,NA,2026-08-31 10:00
SO-00087,3,SKU108,16,58.97,invoiced,2026-08-10,APAC,2026-08-31 10:00
SO-00088,1,SKU138,8,101.70,shipped,2026-08-15,NA,2026-08-31 10:00
SO-00089,1,SKU105,17,63.21,open,2026-08-08,NA,2026-08-31 10:00
SO-00089,2,SKU104,2,147.10,invoiced,2026-08-11,EMEA,2026-08-31 10:00
SO-00089,3,SKU127,4,296.41,shipped,2026-08-20,EMEA,2026-08-31 10:00
SO-00090,1,SKU106,14,152.05,invoiced,2026-08-15,EMEA,2026-08-31 10:00
SO-00091,1,SKU108,14,140.97,invoiced,2026-08-08,APAC,2026-08-31 10:00
SO-00092,1,SKU107,10,91.67,invoiced,2026-08-09,NA,2026-08-31 10:00
SO-00092,2,SKU116,9,63.76,open,2026-08-06,EMEA,2026-08-31 10:00
SO-00092,3,SKU115,5,88.00,invoiced,2026-08-07,NA,2026-08-31 10:00
SO-00093,1,SKU125,9,297.77,invoiced,2026-08-17,EMEA,2026-08-31 10:00
SO-00094,1,SKU106,15,297.33,open,2026-08-01,NA,2026-08-31 10:00
SO-00094,2,SKU114,15,274.74,open,2026-08-10,EMEA,2026-08-31 10:00
SO-00094,3,SKU107,2,60.92,invoiced,2026-08-07,EMEA,2026-08-31 10:00
SO-00095,1,SKU132,6,137.49,shipped,2026-08-25,APAC,2026-08-31 10:00
SO-00095,2,SKU100,4,193.05,invoiced,2026-08-20,NA,2026-08-31 10:00
SO-00096,1,SKU102,12,105.30,open,2026-08-07,NA,2026-08-31 10:00
SO-00097,1,SKU138,7,245.35,shipped,2026-08-14,APAC,2026-08-31 10:00
SO-00098,1,SKU111,20,97.10,open,2026-08-02,NA,2026-08-31 10:00
SO-00098,2,SKU135,16,23.66,open,2026-08-26,NA,2026-08-31 10:00
SO-00099,1,SKU135,5,193.56,open,2026-08-21,EMEA,2026-08-31 10:00
SO-00099,2,SKU125,9,125.89,shipped,2026-08-22,NA,2026-08-31 10:00
SO-00099,3,SKU126,2,97.15,invoiced,2026-08-12,NA,2026-08-31 10:00
SO-00100,1,SKU101,12,195.12,shipped,2026-08-24,NA,2026-08-31 10:00
SO-00100,2,SKU113,1,133.08,open,2026-08-14,EMEA,2026-08-31 10:00
SO-00101,1,SKU125,19,265.44,shipped,2026-08-25,EMEA,2026-08-31 10:00
SO-00102,1,SKU100,2,167.71,invoiced,2026-08-26,NA,2026-08-31 10:00
SO-00103,1,SKU136,20,278.53,invoiced,2026-08-17,EMEA,2026-08-31 10:00
SO-00104,1,SKU122,10,52.74,open,2026-08-03,EMEA,2026-08-31 10:00
SO-00105,1,SKU131,7,93.98,open,2026-08-16,NA,2026-08-31 10:00
SO-00105,2,SKU103,20,278.22,shipped,2026-08-03,APAC,2026-08-31 10:00
SO-00106,1,SKU110,8,188.21,invoiced,2026-08-28,EMEA,2026-08-31 10:00
SO-00106,2,SKU130,6,171.80,open,2026-08-13,APAC,2026-08-31 10:00
SO-00106,3,SKU110,13,110.97,open,2026-08-08,APAC,2026-08-31 10:00
SO-00107,1,SKU102,18,253.53,invoiced,2026-08-02,APAC,2026-08-31 10:00
SO-00108,1,SKU107,13,181.86,invoiced,2026-08-28,APAC,2026-08-31 10:00
SO-00108,2,SKU119,14,95.92,open,2026-08-14,NA,2026-08-31 10:00
SO-00109,1,SKU123,15,153.56,open,2026-08-01,EMEA,2026-08-31 10:00
SO-00109,2,SKU139,16,142.26,shipped,2026-08-25,APAC,2026-08-31 10:00
SO-00109,3,SKU129,6,244.11,shipped,2026-08-04,EMEA,2026-08-31 10:00
SO-00110,1,SKU122,14,112.77,shipped,2026-08-17,APAC,2026-08-31 10:00
SO-00111,1,SKU102,2,192.75,open,2026-08-24,NA,2026-08-31 10:00
SO-00111,2,SKU132,3,21.01,invoiced,2026-08-13,APAC,2026-08-31 10:00
SO-00111,3,SKU108,1,257.84,invoiced,2026-08-24,APAC,2026-08-31 10:00
SO-00112,1,SKU112,5,294.61,shipped,2026-08-10,EMEA,2026-08-31 10:00
SO-00113,1,SKU114,3,250.75,invoiced,2026-08-25,NA,2026-08-31 10:00
SO-00113,2,SKU110,11,269.48,shipped,2026-08-27,NA,2026-08-31 10:00
SO-00113,3,SKU109,9,153.15,shipped,2026-08-07,APAC,2026-08-31 10:00
SO-00114,1,SKU139,17,75.03,shipped,2026-08-02,EMEA,2026-08-31 10:00
SO-00114,2,SKU111,13,52.56,shipped,2026-08-22,NA,2026-08-31 10:00
SO-00115,1,SKU110,9,38.95,invoiced,2026-08-02,APAC,2026-08-31 10:00
SO-00115,2,SKU123,15,168.78,invoiced,2026-08-23,EMEA,2026-08-31 10:00
SO-00116,1,SKU134,13,222.69,shipped,2026-08-09,NA,2026-08-31 10:00
SO-00116,2,SKU123,19,48.13,shipped,2026-08-25,EMEA,2026-08-31 10:00
SO-00117,1,SKU114,6,186.54,open,2026-08-10,APAC,2026-08-31 10:00
SO-00117,2,SKU116,10,193.58,invoiced,2026-08-22,NA,2026-08-31 10:00
SO-00118,1,SKU100,2,70.38,shipped,2026-08-20,APAC,2026-08-31 10:00
SO-00118,2,SKU127,14,156.24,open,2026-08-05,NA,2026-08-31 10:00
SO-00118,3,SKU114,20,197.67,open,2026-08-02,EMEA,2026-08-31 10:00
SO-00119,1,SKU122,10,36.38,shipped,2026-08-18,EMEA,2026-08-31 10:00
SO-00119,2,SKU126,19,93.84,open,2026-08-07,NA,2026-08-31 10:00
SO-00119,3,SKU139,16,51.79,open,2026-08-26,EMEA,2026-08-31 10:00
SO-00120,1,SKU109,15,33.26,invoiced,2026-08-05,APAC,2026-08-31 10:00
SO-00120,2,SKU117,13,244.41,open,2026-08-02,APAC,2026-08-31 10:00
SO-00120,3,SKU135,12,180.44,invoiced,2026-08-15,APAC,2026-08-31 10:00
SO-00121,1,SKU131,8,53.70,open,2026-08-02,EMEA,2026-08-31 10:00
SO-00121,2,SKU134,1,124.77,open,2026-08-06,EMEA,2026-08-31 10:00
SO-00121,3,SKU106,1,185.73,invoiced,2026-08-07,EMEA,2026-08-31 10:00
SO-00122,1,SKU112,17,184.38,invoiced,2026-08-21,APAC,2026-08-31 10:00
SO-00122,2,SKU126,20,56.52,shipped,2026-08-03,NA,2026-08-31 10:00
SO-00123,1,SKU103,16,216.04,open,2026-08-13,NA,2026-08-31 10:00
SO-00123,2,SKU129,3,223.82,shipped,2026-08-06,EMEA,2026-08-31 10:00
SO-00123,3,SKU106,9,73.53,open,2026-08-04,NA,2026-08-31 10:00
SO-00124,1,SKU116,2,83.47,invoiced,2026-08-22,NA,2026-08-31 10:00
SO-00124,2,SKU133,9,92.21,open,2026-08-03,APAC,2026-08-31 10:00
SO-00124,3,SKU100,6,81.81,open,2026-08-27,APAC,2026-08-31 10:00
SO-00125,1,SKU110,11,61.62,shipped,2026-08-11,APAC,2026-08-31 10:00
SO-00126,1,SKU124,18,143.50,invoiced,2026-08-23,EMEA,2026-08-31 10:00
SO-00127,1,SKU127,8,173.25,shipped,2026-08-26,EMEA,2026-08-31 10:00
SO-00128,1,SKU139,19,27.95,open,2026-08-05,EMEA,2026-08-31 10:00
SO-00128,2,SKU101,4,36.47,open,2026-08-12,EMEA,2026-08-31 10:00
SO-00129,1,SKU101,1,17.29,invoiced,2026-08-21,APAC,2026-08-31 10:00
SO-00129,2,SKU102,3,222.35,open,2026-08-28,APAC,2026-08-31 10:00
SO-00129,3,SKU123,7,246.18,invoiced,2026-08-22,EMEA,2026-08-31 10:00
SO-00130,1,SKU124,4,77.74,open,2026-08-04,EMEA,2026-08-31 10:00
SO-00130,2,SKU102,3,248.39,invoiced,2026-08-21,NA,2026-08-31 10:00
SO-00130,3,SKU130,4,44.13,invoiced,2026-08-07,NA,2026-08-31 10:00
SO-00131,1,SKU121,14,82.04,shipped,2026-08-09,NA,2026-08-31 10:00
SO-00131,2,SKU103,12,273.55,invoiced,2026-08-17,NA,2026-08-31 10:00
SO-00132,1,SKU139,1,237.77,open,2026-08-14,APAC,2026-08-31 10:00
SO-00132,2,SKU106,12,143.34,open,2026-08-18,APAC,2026-08-31 10:00
SO-00133,1,SKU105,19,246.84,open,2026-08-14,EMEA,2026-08-31 10:00
SO-00134,1,SKU112,10,229.84,open,2026-08-01,NA,2026-08-31 10:00
SO-00134,2,SKU131,4,149.99,open,2026-08-16,APAC,2026-08-31 10:00
SO-00134,3,SKU122,17,81.87,open,2026-08-10,EMEA,2026-08-31 10:00
SO-00135,1,SKU114,16,53.91,invoiced,2026-08-25,EMEA,2026-08-31 10:00
SO-00135,2,SKU131,18,237.15,invoiced,2026-08-11,NA,2026-08-31 10:00
SO-00135,3,SKU106,13,278.91,invoiced,2026-08-03,NA,2026-08-31 10:00
SO-00136,1,SKU101,12,65.80,shipped,2026-08-14,APAC,2026-08-31 10:00
SO-00136,2,SKU132,6,116.90,invoiced,2026-08-08,NA,2026-08-31 10:00
SO-00136,3,SKU108,18,180.26,invoiced,2026-08-25,APAC,2026-08-31 10:00
SO-00137,1,SKU102,12,176.57,invoiced,2026-08-05,NA,2026-08-31 10:00
SO-00137,2,SKU135,11,55.02,shipped,2026-08-23,NA,2026-08-31 10:00
SO-00137,3,SKU137,8,42.19,shipped,2026-08-21,APAC,2026-08-31 10:00
SO-00138,1,SKU132,7,83.91,invoiced,2026-08-27,APAC,2026-08-31 10:00
SO-00139,1,SKU109,8,218.33,invoiced,2026-08-17,NA,2026-08-31 10:00
SO-00140,1,SKU115,11,286.96,shipped,2026-08-24,EMEA,2026-08-31 10:00
SO-00141,1,SKU106,7,118.35,open,2026-08-26,NA,2026-08-31 10:00
SO-00142,1,SKU119,14,85.78,open,2026-08-21,EMEA,2026-08-31 10:00
SO-00142,2,SKU117,7,266.15,shipped,2026-08-02,EMEA,2026-08-31 10:00
SO-00142,3,SKU125,14,209.56,invoiced,2026-08-21,NA,2026-08-31 10:00
SO-00143,1,SKU101,5,80.88,invoiced,2026-08-13,EMEA,2026-08-31 10:00
SO-00143,2,SKU115,14,211.84,invoiced,2026-08-24,APAC,2026-08-31 10:00
SO-00144,1,SKU114,19,256.47,invoiced,2026-08-06,APAC,2026-08-31 10:00
SO-00144,2,SKU107,15,132.60,shipped,2026-08-21,APAC,2026-08-31 10:00
SO-00145,1,SKU126,8,235.80,invoiced,2026-08-23,APAC,2026-08-31 10:00
SO-00146,1,SKU116,14,147.41,open,2026-08-20,NA,2026-08-31 10:00
SO-00147,1,SKU111,11,234.56,shipped,2026-08-27,NA,2026-08-31 10:00
SO-00147,2,SKU106,2,79.11,open,2026-08-06,APAC,2026-08-31 10:00
SO-00147,3,SKU112,17,107.72,invoiced,2026-08-15,APAC,2026-08-31 10:00
SO-00148,1,SKU130,17,9.75,shipped,2026-08-17,NA,2026-08-31 10:00
SO-00149,1,SKU129,7,297.13,open,2026-08-13,APAC,2026-08-31 10:00
SO-00149,2,SKU107,20,109.86,open,2026-08-09,NA,2026-08-31 10:00
SO-00150,1,SKU125,2,8.93,shipped,2026-08-14,APAC,2026-08-31 10:00
SO-00150,2,SKU122,19,83.22,open,2026-08-10,APAC,2026-08-31 10:00
SO-00151,1,SKU133,8,298.30,shipped,2026-08-15,EMEA,2026-08-31 10:00
SO-00151,2,SKU110,5,279.18,open,2026-08-26,APAC,2026-08-31 10:00
SO-00152,1,SKU130,18,217.61,open,2026-08-12,APAC,2026-08-31 10:00
SO-00153,1,SKU126,15,298.86,invoiced,2026-08-21,EMEA,2026-08-31 10:00
SO-00153,2,SKU130,12,236.16,open,2026-08-09,APAC,2026-08-31 10:00
SO-00153,3,SKU124,9,294.95,invoiced,2026-08-06,NA,2026-08-31 10:00
SO-00154,1,SKU117,12,77.27,shipped,2026-08-11,NA,2026-08-31 10:00
SO-00155,1,SKU127,20,193.00,invoiced,2026-08-12,EMEA,2026-08-31 10:00
SO-00155,2,SKU119,13,21.83,invoiced,2026-08-11,EMEA,2026-08-31 10:00
SO-00156,1,SKU122,19,9.42,open,2026-08-07,EMEA,2026-08-31 10:00
SO-00156,2,SKU118,9,184.42,invoiced,2026-08-05,EMEA,2026-08-31 10:00
SO-00156,3,SKU111,15,107.20,open,2026-08-07,NA,2026-08-31 10:00
SO-00157,1,SKU110,20,267.88,invoiced,2026-08-26,EMEA,2026-08-31 10:00
SO-00157,2,SKU135,10,63.22,invoiced,2026-08-07,APAC,2026-08-31 10:00
SO-00157,3,SKU105,15,203.01,open,2026-08-18,EMEA,2026-08-31 10:00
SO-00158,1,SKU126,8,248.98,shipped,2026-08-16,APAC,2026-08-31 10:00
SO-00158,2,SKU103,16,142.79,open,2026-08-23,NA,2026-08-31 10:00
SO-00159,1,SKU131,6,164.17,invoiced,2026-08-01,EMEA,2026-08-31 10:00
SO-00160,1,SKU129,19,151.79,shipped,2026-08-27,NA,2026-08-31 10:00
